state,county,crop,practice,product,product_code,coverage_level,units,fsa,net_rev
Arkansas,Lawrence,Soybeans,Irrigated,RP,2,No Insurance,Basic,N/A,-90.29781302
Arkansas,Lawrence,Soybeans,Irrigated,RP,2,50%,Basic,N/A,-84.46629487
Arkansas,Lawrence,Soybeans,Irrigated,RP,2,55%,Basic,N/A,-82.43178154
Arkansas,Lawrence,Soybeans,Irrigated,RP,2,60%,Basic,N/A,-79.40518816
Arkansas,Lawrence,Soybeans,Irrigated,RP,2,65%,Basic,N/A,-77.08875314
Arkansas,Lawrence,Soybeans,Irrigated,RP,2,70%,Basic,N/A,-73.08949634
Arkansas,Lawrence,Soybeans,Irrigated,RP,2,75%,Basic,N/A,-70.20823909
Arkansas,Lawrence,Soybeans,Irrigated,RP,2,80%,Basic,N/A,-69.16556793
Arkansas,Lawrence,Soybeans,Irrigated,RP,2,85%,Basic,N/A,-71.14900383
Arkansas,Lawrence,Soybeans,Irrigated,RP,2,No Insurance,Basic,ARC-CO,-40.57267135
Arkansas,Lawrence,Soybeans,Irrigated,RP,2,50%,Basic,ARC-CO,-34.74115321
Arkansas,Lawrence,Soybeans,Irrigated,RP,2,55%,Basic,ARC-CO,-32.70663987
Arkansas,Lawrence,Soybeans,Irrigated,RP,2,60%,Basic,ARC-CO,-29.68004649
Arkansas,Lawrence,Soybeans,Irrigated,RP,2,65%,Basic,ARC-CO,-27.36361147
Arkansas,Lawrence,Soybeans,Irrigated,RP,2,70%,Basic,ARC-CO,-23.36435467
Arkansas,Lawrence,Soybeans,Irrigated,RP,2,75%,Basic,ARC-CO,-20.48309742
Arkansas,Lawrence,Soybeans,Irrigated,RP,2,80%,Basic,ARC-CO,-19.44042626
Arkansas,Lawrence,Soybeans,Irrigated,RP,2,85%,Basic,ARC-CO,-21.42386216
Arkansas,Lawrence,Soybeans,Irrigated,RP,2,No Insurance,Enterprise,PLC,-90.29781302
Arkansas,Lawrence,Soybeans,Irrigated,RP,2,50%,Enterprise,PLC,-83.05622923
Arkansas,Lawrence,Soybeans,Irrigated,RP,2,55%,Enterprise,PLC,-79.95899592
Arkansas,Lawrence,Soybeans,Irrigated,RP,2,60%,Enterprise,PLC,-76.01618923
Arkansas,Lawrence,Soybeans,Irrigated,RP,2,65%,Enterprise,PLC,-71.19379114
Arkansas,Lawrence,Soybeans,Irrigated,RP,2,70%,Enterprise,PLC,-65.4932538
Arkansas,Lawrence,Soybeans,Irrigated,RP,2,75%,Enterprise,PLC,-60.20459126
Arkansas,Lawrence,Soybeans,Irrigated,RP,2,80%,Enterprise,PLC,-57.97222753
Arkansas,Lawrence,Soybeans,Irrigated,RP,2,85%,Enterprise,PLC,-61.00238794
Arkansas,Lawrence,Soybeans,Irrigated,RP,2,No Insurance,Enterprise,N/A,-90.29781302
Arkansas,Lawrence,Soybeans,Irrigated,RP,2,50%,Enterprise,N/A,-83.05622923
Arkansas,Lawrence,Soybeans,Irrigated,RP,2,55%,Enterprise,N/A,-79.95899592
Arkansas,Lawrence,Soybeans,Irrigated,RP,2,60%,Enterprise,N/A,-76.01618923
Arkansas,Lawrence,Soybeans,Irrigated,RP,2,65%,Enterprise,N/A,-71.19379114
Arkansas,Lawrence,Soybeans,Irrigated,RP,2,70%,Enterprise,N/A,-65.4932538
Arkansas,Lawrence,Soybeans,Irrigated,RP,2,75%,Enterprise,N/A,-60.20459126
Arkansas,Lawrence,Soybeans,Irrigated,RP,2,80%,Enterprise,N/A,-57.97222753
